Per-run confirmation ranking
F1_micro,F1_macro,P_micro,R_micro,method,k,seed,pred,ok,file
74.71,74.68,78.12,71.59,absa_mmr,12,303,416,325,fs_confirm_absa_mmr_k12_seed303.summary.json
74.42,74.61,78.82,70.48,dense_topk,12,202,406,320,fs_confirm_dense_topk_k12_seed202.summary.json
74.26,74.10,80.46,68.94,absa_mmr,8,101,389,313,fs_confirm_absa_mmr_k8_seed101.summary.json
74.18,74.24,79.40,69.60,absa_mmr,8,303,398,316,fs_confirm_absa_mmr_k8_seed303.summary.json
73.84,75.02,77.80,70.26,dense_topk,12,101,410,319,fs_confirm_dense_topk_k12_seed101.summary.json
73.56,73.46,78.84,68.94,dense_topk,10,303,397,313,fs_confirm_dense_topk_k10_seed303.summary.json
73.49,74.28,77.83,69.60,absa_mmr,12,101,406,316,fs_confirm_absa_mmr_k12_seed101.summary.json
73.35,73.20,78.93,68.50,absa_mmr,8,202,394,311,fs_confirm_absa_mmr_k8_seed202.summary.json
73.24,73.49,78.39,68.72,dense_topk,10,202,398,312,fs_confirm_dense_topk_k10_seed202.summary.json
73.22,72.80,78.05,68.94,absa_mmr,12,202,401,313,fs_confirm_absa_mmr_k12_seed202.summary.json
72.54,72.97,77.64,68.06,dense_topk,10,101,398,309,fs_confirm_dense_topk_k10_seed101.summary.json
72.51,72.93,77.31,68.28,dense_topk,12,303,401,310,fs_confirm_dense_topk_k12_seed303.summary.json

Grouped confirmation means
method,k,n,F1_micro_mean,F1_micro_min,F1_micro_max,F1_macro_mean,P_micro_mean,R_micro_mean
absa_mmr,8,3,73.93,73.35,74.26,73.85,79.60,69.02
absa_mmr,12,3,73.81,73.22,74.71,73.92,78.00,70.04
dense_topk,10,3,73.11,72.54,73.56,73.31,78.29,68.58
dense_topk,12,3,73.59,72.51,74.42,74.19,77.98,69.68
